SpeciesName,month,year,stateProvince,decimalLatitude,decimalLongitude
Sandpiper,12,1981,Victoria,-38.2068,145.3763
Sandpiper,12,2006,Victoria,-38.3257,145.1896
Sandpiper,3,2017,Victoria,-37.4399,144.9981
Sandpiper,12,2017,Victoria,-38.561,142.0944
Sandpiper,3,1975,Victoria,-38.4694,145.4055
Sandpiper,12,1981,Victoria,-38.2485,144.5846
Sandpiper,12,1977,Victoria,-38.0818,141.0847
Sandpiper,12,1976,Victoria,-38.2068,145.3763
Sandpiper,12,1978,Victoria,-38.2485,141.7513
Sandpiper,6,1978,Victoria,-38.4152,141.5847
Sandpiper,3,1976,Victoria,-37.9984,145.1679
Sandpiper,,,Victoria,-37.5817,149.7512
Sandpiper,12,1980,Victoria,-38.2485,144.5846
Sandpiper,12,1997,Victoria,-37.8602,144.859
Sandpiper,3,1975,Victoria,-38.1651,145.1679
Sandpiper,9,2006,Victoria,-37.9849,144.6615
Sandpiper,12,1981,Victoria,-36.5818,146.5846
Sandpiper,9,1981,Victoria,-38.4152,141.5847
Sandpiper,3,1975,Victoria,-38.3721,145.2221
Sandpiper,3,1980,Victoria,-38.2485,144.7513
Sandpiper,12,2017,Victoria,-37.7597,148.788
Sandpiper,12,1977,Victoria,-36.9152,141.2513
Sandpiper,9,2000,Victoria,-38.3519,142.3066
Sandpiper,12,1987,Victoria,-38.5341,143.9745
Sandpiper,12,1980,Victoria,-38.0818,145.2513
Sandpiper,12,1979,Victoria,-38.2485,144.5846
Sandpiper,12,2018,Victoria,-38.3802,142.2414
Sandpiper,12,1999,Victoria,-38.0492,141.0088
Sandpiper,12,1992,Victoria,-38.3151,145.2013
Sandpiper,12,2018,Victoria,-38.561,142.0944
Sandpiper,3,1983,Victoria,-38.0709,145.172
Sandpiper,12,1977,Victoria,-37.5818,144.5846
Sandpiper,1,1950,Victoria,-37.8544,144.8387
Sandpiper,12,1978,Victoria,-38.2485,144.5846
Sandpiper,12,2018,Victoria,-38.3802,142.2414
Sandpiper,3,1977,Victoria,-38.0402,141.043
Sandpiper,9,1989,Victoria,-38.2068,145.3763
Sandpiper,3,1962,New South Wales,-34.1651,142.1679
Sandpiper,12,2018,Victoria,-37.8981,144.7799
Sandpiper,9,1980,Victoria,-38.2485,144.5846
Sandpiper,1,1928,Victoria,-38.4985,142.5013
Sandpiper,9,1979,Victoria,-38.2485,144.5846
Sandpiper,12,2017,Victoria,-37.8981,144.7799
Sandpiper,,,Victoria,-37.9151,147.7512
Sandpiper,12,1974,Victoria,-38.3818,145.2679
Sandpiper,3,1993,Victoria,-38.3878,142.2409
Sandpiper,12,2018,Victoria,-37.8981,144.7799
Sandpiper,6,1977,Victoria,-38.2485,144.5846
Sandpiper,3,1979,Victoria,-38.2485,144.418
Sandpiper,12,1980,Victoria,-38.0818,144.5846
Sandpiper,3,2019,Victoria,-37.8981,144.7799
Sandpiper,3,2019,Victoria,-37.5573,145.1372
Sandpiper,3,1988,Victoria,-38.1543,144.42
Sandpiper,12,2017,Victoria,-38.464,145.3026
Sandpiper,3,2019,Victoria,-37.8981,144.7799
Sandpiper,3,1988,Victoria,-36.7106,144.2622
Sandpiper,9,1987,Victoria,-38.4688,145.4063
Sandpiper,12,2000,Victoria,-38.0645,145.1688
Sandpiper,12,2017,Victoria,-38.464,145.3026
Sandpiper,12,2018,Victoria,-38.3889,142.2423
Sandpiper,9,2018,Victoria,-38.3885,142.2411
Sandpiper,9,2016,Victoria,-38.0761,144.4326
Sandpiper,6,1978,Victoria,-37.7484,148.5846
Sandpiper,9,1979,Victoria,-38.2485,144.5846
Sandpiper,4,1993,Victoria,-38.2318,145.4846
Sandpiper,,,Victoria,-37.8318,145.0013
Sandpiper,9,2017,Victoria,-38.464,145.3026
Sandpiper,3,1975,Victoria,-38.3721,145.2221
Sandpiper,3,1977,Victoria,-38.6401,146.6596
Sandpiper,3,2007,Victoria,-38.0666,145.1666
Sandpiper,,,Victoria,-37.5817,149.7512
Sandpiper,9,1980,Victoria,-38.4152,141.5847
